Probe,Gene,logFC
1565751_at,TMEM185A,-1.3992985246724097
211726_s_at,SLC4A8,-1.3989854560504826
213477_x_at,SSH2,-1.3988845948808926
238132_at,HSD17B12,-1.3986064733879644
AFFX.DapX.M_at,ADIG,-1.3979754930579424
201132_at,CCSER2,-1.3978839711723974
243720_at,DNAI4,-1.3974429087117048
238322_s_at,SUGT1P3,-1.3969284016939585
203898_at,"CFAP91, NA",-1.3966896286503934
202888_s_at,"SLC33A1, NA",-1.3962734663067107
1555553_a_at,CLDND1,-1.3961896432686072
202611_s_at,PHF21A,-1.3959194729323867
228044_at,WFDC8,-1.3955768456136959
205137_x_at,WFDC8,-1.3953086982206508
241640_at,ZMYND11,-1.3952718129265362
234760_at,ZMYND11,-1.3952384002095921
212262_at,ZMYM3,-1.3945581913509344
202173_s_at,ZMYM3,-1.3944614069334542
216700_at,HYCC2,-1.3938163710945417
1563485_at,"SLURP2, LYNX1-SLURP2",-1.3937306390172837
211469_s_at,SNX32,-1.3936716769832198
1555264_a_at,"TRIM74, TRIM73",-1.3936533298382594
239403_at,NA,-1.3931346814815297
1558474_at,PLEKHS1,-1.3925894976943658
214174_s_at,TRMT44,-1.3925817546739692
223867_at,MANEA,-1.3924622160775961
242131_at,NA,-1.3922257859814706
61874_at,CABP4,-1.3916006412720634
232644_x_at,ICA1L,-1.3910714727569964
1558875_at,"TMLHE, TMLHEP1, NA",-1.3910671120108604
205226_at,ZCCHC13,-1.3909907471315175
216963_s_at,VPS50,-1.3902455357887198
244494_at,Unknown,-1.389837939289691
1562805_at,TMEM277P,-1.3895216578057161
240175_at,LINC02712,-1.389307755574827
224569_s_at,BAALC-AS2,-1.3892450544398864
217936_at,CREBRF,-1.3892079427081185
206901_at,Unknown,-1.3888493247156795
1559679_a_at,C1QTNF9,-1.3886892614883306
244862_at,CTNNA3,-1.3885796506404298
1564590_a_at,SDCCAG8,-1.388510279695386
1559737_at,PTGR3,-1.3884142250797997
203381_s_at,ITGAL,-1.3883282032193398
243135_x_at,COCH,-1.3883138239189219
1560214_at,COCH,-1.3883020455557875
228755_at,"ARL17B, ARL17A",-1.3882461952251244
1561423_at,Unknown,-1.3881465436220983
233266_at,ZNF638,-1.3881109756104553
221117_at,NA,-1.3878488206969881
237106_at,CERS3,-1.3877737935767025
1555754_s_at,DNAJC5B,-1.3872326730282767
222031_at,GPSM1,-1.3872030215985818
215365_at,CENPL,-1.3869700054963452
1560164_at,SSH1,-1.386878335648628
220732_at,TRMT2B,-1.3867160358015123
1561531_at,NA,-1.386218454684368
212545_s_at,HAVCR2,-1.3861830073261296
207167_at,TRIM4,-1.3859372554049127
1556250_at,FHIP2A,-1.3857554313622182
201654_s_at,BLTP3B,-1.38567534116687
207600_at,BLTP3B,-1.3856305843686536
215916_at,CYP19A1,-1.3848814586962293
1564670_at,NPAS4,-1.384584912339787
208454_s_at,LHFPL3-AS1,-1.384514949365105
216922_x_at,LHFPL3-AS1,-1.3842469424281576
241307_at,LIF-AS2,-1.3841565074577327
AFFX.r2.Bs.dap.5_at,ITPKB,-1.3841305157033332
1569080_at,GABRA2,-1.3839804526657182
1561298_at,SUPT6H,-1.3838907481331688
1565554_at,PGLS,-1.383377431527435
1566775_at,RPS6KA5,-1.3832208116080058
1555614_at,NFS1,-1.3831999511242856
237379_at,DOCK2,-1.3824605202331746
211455_at,STXBP4,-1.382360403476253
221510_s_at,SLCO4A1-AS1,-1.3819426744727235
219023_at,DRAXIN,-1.3808914383995428
